Idiom	Context	Meaning	Explanation	Language
in the dock	The once all-powerful executive has been in the dock for the past month over allegations of money laundering within his company.	On trial, especially in a criminal case. For example, The accused stood in the dock through the entire proceeding. This expression employs dock in the sense of "an enclosed place for the defendant in a court of law," a usage dating from the late 1500s, and is used even in American courts where no such enclosure exists. 	En juicio, especialmente en un caso penal. Por ejemplo, el acusado permaneció en el banquillo durante todo el procedimiento. Esta expresión emplea muelle en el sentido de "un lugar cerrado para el acusado en un tribunal de justicia", un uso que data de finales del siglo XVI y se utiliza incluso en los tribunales estadounidenses donde no existe tal recinto.	Spanish
in the dock	The once all-powerful executive has been in the dock for the past month over allegations of money laundering within his company.	On trial, especially in a criminal case. For example, The accused stood in the dock through the entire proceeding. This expression employs dock in the sense of "an enclosed place for the defendant in a court of law," a usage dating from the late 1500s, and is used even in American courts where no such enclosure exists. 	Vor Gericht, insbesondere in einem Strafverfahren. Beispielsweise stand der Angeklagte während des gesamten Verfahrens auf der Anklagebank. In diesem Ausdruck wird „dock“ im Sinne von „ein umschlossener Ort für den Angeklagten vor Gericht“ verwendet, eine Verwendung aus dem späten 15. Jahrhundert, die sogar in amerikanischen Gerichten verwendet wird, wo es keine solche Umschließung gibt.	German
long in the tooth	Our poor cat is so long in the tooth that he struggles just walking around the house these days.	Old. Animals' teeth, especially those of horses, are thought to be an indicator of age. As animals age, their gums recede, and their teeth look longer.  ?	Viejo. Se cree que los dientes de los animales, especialmente los de los caballos, son un indicador de la edad. A medida que los animales envejecen, sus encías se retraen y sus dientes parecen más largos. ?	Spanish
long in the tooth	Our poor cat is so long in the tooth that he struggles just walking around the house these days.	Old. Animals' teeth, especially those of horses, are thought to be an indicator of age. As animals age, their gums recede, and their teeth look longer.  ?	Alt. Die Zähne von Tieren, insbesondere von Pferden, gelten als Altersindikator. Mit zunehmendem Alter nimmt das Zahnfleisch der Tiere ab und die Zähne sehen länger aus. ?	German
in a fog	I always feel like I'm in a fog when I take that medication. It's like it's hard for me to think.	Not fully aware or alert; having one's attention clouded with something. 	No completamente consciente o alerta; tener la atención nublada por algo.	Spanish
in a fog	I always feel like I'm in a fog when I take that medication. It's like it's hard for me to think.	Not fully aware or alert; having one's attention clouded with something. 	Nicht vollständig bewusst oder wachsam; die Aufmerksamkeit eines Menschen durch etwas getrübt werden.	German
ethnic cleansing	Ethnic cleansing is strongly associated with the Yugoslav Wars, during which large numbers of Bosnian Muslims and Croats were murdered.	The elimination of a particular ethnic group from a population, as through forced emigration or genocide. 	La eliminación de un grupo étnico particular de una población, ya sea mediante emigración forzada o genocidio.	Spanish
ethnic cleansing	Ethnic cleansing is strongly associated with the Yugoslav Wars, during which large numbers of Bosnian Muslims and Croats were murdered.	The elimination of a particular ethnic group from a population, as through forced emigration or genocide. 	Die Eliminierung einer bestimmten ethnischen Gruppe aus einer Bevölkerung, beispielsweise durch erzwungene Auswanderung oder Völkermord.	German
practice makes perfect	A: "I just can't seem to get the rhythm of this song quire right." B: "Keep at it—practice makes perfect!"	proverb Practicing or repeatedly doing something will make one become proficient or skillful at it.  	proverbio Practicar o hacer algo repetidamente hará que uno se vuelva competente o hábil en ello.	Spanish
practice makes perfect	A: "I just can't seem to get the rhythm of this song quire right." B: "Keep at it—practice makes perfect!"	proverb Practicing or repeatedly doing something will make one become proficient or skillful at it.  	Sprichwort Wenn man etwas übt oder wiederholt ausführt, wird man darin kompetent oder geschickt.	German
on the run	The escaped convicts have been on the run for a week, with no leads as to their whereabouts.	Attempting to avoid capture, typically as a fugitive from law enforcement; on the lam. 	Intentar evitar la captura, generalmente como fugitivo de las autoridades; a la fuga.	Spanish
on the run	The escaped convicts have been on the run for a week, with no leads as to their whereabouts.	Attempting to avoid capture, typically as a fugitive from law enforcement; on the lam. 	Der Versuch, einer Gefangennahme zu entgehen, typischerweise als Flüchtling vor den Strafverfolgungsbehörden; auf der Flucht.	German
that makes two of us	A: "Money's going to be tight this month." B: "That makes two of us—I think I'll just have enough to pay my bills."	It's the same with me; I agree; me too.  	Es lo mismo conmigo; Estoy de acuerdo; yo también.	Spanish
that makes two of us	A: "Money's going to be tight this month." B: "That makes two of us—I think I'll just have enough to pay my bills."	It's the same with me; I agree; me too.  	Bei mir ist es genauso; Ich stimme zu; Ich auch.	German
alive and kicking	A: "How are you doing after your surgery?" B: "I'm alive and kicking!"	Active and healthy.  	Activo y saludable.	Spanish
alive and kicking	A: "How are you doing after your surgery?" B: "I'm alive and kicking!"	Active and healthy.  	Aktiv und gesund.	German
water under the bridge	That argument we had is just water under the bridge now—don't even worry about it.	A prior issue that is now resolved or considered resolved. 	Un problema anterior que ahora está resuelto o se considera resuelto.	Spanish
water under the bridge	That argument we had is just water under the bridge now—don't even worry about it.	A prior issue that is now resolved or considered resolved. 	Ein früheres Problem, das jetzt gelöst ist oder als gelöst gilt.	German
jack of all trades	My father could fix cars, build furniture, and program computers—he was a jack of all trades.	A person who is skilled in many different areas. 	Una persona que tiene habilidades en muchas áreas diferentes.	Spanish
jack of all trades	My father could fix cars, build furniture, and program computers—he was a jack of all trades.	A person who is skilled in many different areas. 	Eine Person, die sich in vielen verschiedenen Bereichen auskennt.	German
all in all	Sure, it rained on our vacation, but all in all we had a great time.	Overall; mostly. This phrase is typically used when one is considering all aspects of something together.  	En general; principalmente. Esta frase se utiliza normalmente cuando se consideran todos los aspectos de algo en conjunto.	Spanish
all in all	Sure, it rained on our vacation, but all in all we had a great time.	Overall; mostly. This phrase is typically used when one is considering all aspects of something together.  	Gesamt; meistens. Dieser Ausdruck wird typischerweise verwendet, wenn man alle Aspekte einer Sache zusammen betrachtet.	German
washed up	You've been washed up for years—why on earth do you think I'd want your advice?	Ruined or no longer successful; past the prime point of one's career or ability. ? 	Arruinado o ya sin éxito; más allá del punto principal de la carrera o capacidad de uno. ?	Spanish
washed up	You've been washed up for years—why on earth do you think I'd want your advice?	Ruined or no longer successful; past the prime point of one's career or ability. ? 	Ruiniert oder nicht mehr erfolgreich; über den Höhepunkt der eigenen Karriere oder Fähigkeit hinaus. ?	German
curiosity killed the cat	I think you'll offend her by asking such personal questions—curiosity killed the cat, after all.	proverb Inquisitiveness can be dangerous, especially when it extends to things one does not need to know about.  	proverbio La curiosidad puede ser peligrosa, especialmente cuando se extiende a cosas que uno no necesita saber.	Spanish
curiosity killed the cat	I think you'll offend her by asking such personal questions—curiosity killed the cat, after all.	proverb Inquisitiveness can be dangerous, especially when it extends to things one does not need to know about.  	Sprichwort: Neugier kann gefährlich sein, besonders wenn sie sich auf Dinge erstreckt, über die man nichts wissen muss.	German
you bet	A: "Hey Frank, do you want to come with us to the movies?" B: "You bet I do!"	You can be sure; absolutely; definitely.  	Puedes estar seguro; absolutamente; definitivamente.	Spanish
you bet	A: "Hey Frank, do you want to come with us to the movies?" B: "You bet I do!"	You can be sure; absolutely; definitely.  	Du kannst sicher sein; absolut; definitiv.	German
on the same page	We all need to be on the same page before we try to present this complex idea to the boss.	Of two or more people, thinking in the same manner; having the same general outlook or position. 	De dos o más personas, pensando de la misma manera; teniendo la misma perspectiva o posición general.	Spanish
on the same page	We all need to be on the same page before we try to present this complex idea to the boss.	Of two or more people, thinking in the same manner; having the same general outlook or position. 	Von zwei oder mehr Menschen, die auf die gleiche Weise denken; die gleiche allgemeine Einstellung oder Position haben.	German
chicken fee	Suzy's brother has a connection in the stadium, so we got these tickets for chicken feed!	A very paltry or minuscule amount of money; the absolute minimum amount.  	Una cantidad de dinero muy mísera o minúscula; la cantidad mínima absoluta.	Spanish
chicken fee	Suzy's brother has a connection in the stadium, so we got these tickets for chicken feed!	A very paltry or minuscule amount of money; the absolute minimum amount.  	Ein sehr dürftiger oder winziger Geldbetrag; der absolute Mindestbetrag.	German
bring somebody to their knees	The general believes that such an attack will bring the opposing troops to their knees.	reduce to a position of subservience or submission.	reducir a una posición de subordinación o sumisión.	Spanish
bring somebody to their knees	The general believes that such an attack will bring the opposing troops to their knees.	reduce to a position of subservience or submission.	auf eine Position der Unterwürfigkeit oder Unterwerfung reduzieren.	German
make up one's mind	I've made up my mind, and I think we should move after all.	Decide between alternatives, come to a decision, as in I had trouble making up my mind about which coat I liked best. This expression dates from the early 1800s, although a similar usage appeared two centuries earlier in Shakespeare's King John (2:1): "I know she is not for this match made up." 	Decidir entre alternativas, tomar una decisión, ya que me costó decidir qué abrigo me gustaba más. Esta expresión data de principios del siglo XIX, aunque un uso similar apareció dos siglos antes en El rey Juan de Shakespeare (2:1): "Sé que ella no está preparada para este matrimonio".	Spanish
make up one's mind	I've made up my mind, and I think we should move after all.	Decide between alternatives, come to a decision, as in I had trouble making up my mind about which coat I liked best. This expression dates from the early 1800s, although a similar usage appeared two centuries earlier in Shakespeare's King John (2:1): "I know she is not for this match made up." 	Zwischen Alternativen entscheiden, eine Entscheidung treffen, denn ich hatte Schwierigkeiten, mich zu entscheiden, welcher Mantel mir am besten gefiel. Dieser Ausdruck stammt aus dem frühen 18. Jahrhundert, obwohl eine ähnliche Verwendung zwei Jahrhunderte zuvor in Shakespeares King John (2:1) vorkam: „Ich weiß, dass sie sich für diese Verbindung nicht ausgedacht hat.“	German
build bridges	The senator was working to build bridges between the two parties on the contentious issue.	connect disparate people or groups.  	conectar personas o grupos dispares.	Spanish
build bridges	The senator was working to build bridges between the two parties on the contentious issue.	connect disparate people or groups.  	unterschiedliche Menschen oder Gruppen verbinden.	German
raise eyebrows	Her irreverent chatter during the ceremony raised eyebrows.	elicit shock, surprise, or offense, typically through unconventional actions or words. The phrase typically suggests negative attention or judgment.  	provocar conmoción, sorpresa u ofensa, generalmente a través de acciones o palabras no convencionales. La frase suele sugerir atención o juicio negativo.	Spanish
raise eyebrows	Her irreverent chatter during the ceremony raised eyebrows.	elicit shock, surprise, or offense, typically through unconventional actions or words. The phrase typically suggests negative attention or judgment.  	Schock, Überraschung oder Beleidigung hervorrufen, typischerweise durch unkonventionelle Handlungen oder Worte. Der Ausdruck suggeriert typischerweise negative Aufmerksamkeit oder negatives Urteilsvermögen.	German
come to blows	Shopping on Black Friday can be so frenetic and crazy that many customers nearly come to blows with one another!	get into a fight, often physically. 	meterse en una pelea, a menudo físicamente.	Spanish
come to blows	Shopping on Black Friday can be so frenetic and crazy that many customers nearly come to blows with one another!	get into a fight, often physically. 	in einen Kampf geraten, oft körperlich.	German
hot potato	The political candidate knew the issue was a hot potato, so he deferred to his chief of staff, who directed questions to the committee chairperson.	A sensitive situation or controversial issue that is difficult to handle and thus gets passed from one person to the next like a potato that is too hot to hold. 	Una situación delicada o un tema controvertido que es difícil de manejar y que, por lo tanto, pasa de una persona a otra como una papa demasiado caliente para sostenerla.	Spanish
hot potato	The political candidate knew the issue was a hot potato, so he deferred to his chief of staff, who directed questions to the committee chairperson.	A sensitive situation or controversial issue that is difficult to handle and thus gets passed from one person to the next like a potato that is too hot to hold. 	Eine heikle Situation oder ein kontroverses Thema, das schwer zu handhaben ist und daher von einer Person zur nächsten weitergegeben wird wie eine Kartoffel, die zu heiß zum Anfassen ist.	German
quantum leap	Gary's new job in upper management is a quantum leap forward from his old position at the factory.	A sudden or important change or improvement. 	Un cambio o mejora repentina o importante.	Spanish
quantum leap	Gary's new job in upper management is a quantum leap forward from his old position at the factory.	A sudden or important change or improvement. 	Eine plötzliche oder wichtige Änderung oder Verbesserung.	German
curl one's lip	When I heard what was for dinner, I curled my lip in disgust.	sneer at something.  	burlarse de algo.	Spanish
curl one's lip	When I heard what was for dinner, I curled my lip in disgust.	sneer at something.  	über etwas spotten.	German
act one's age	Really, John, act your age a little. You're like a child sometimes!	behave in accordance with one's expected level of maturity.  	comportarse de acuerdo con el nivel de madurez esperado.	Spanish
act one's age	Really, John, act your age a little. You're like a child sometimes!	behave in accordance with one's expected level of maturity.  	sich entsprechend dem erwarteten Reifegrad verhalten.	German
couch potato	Lisa wants to date a man who loves to travel and explore, not a couch potato who watches television all the time.	Someone who habitually engages in sedentary activities, usually understood as frequently watching television. 	Alguien que realiza habitualmente actividades sedentarias, entendiéndose habitualmente como ver televisión con frecuencia.	Spanish
couch potato	Lisa wants to date a man who loves to travel and explore, not a couch potato who watches television all the time.	Someone who habitually engages in sedentary activities, usually understood as frequently watching television. 	Jemand, der regelmäßig sitzende Tätigkeiten ausübt, darunter häufiges Fernsehen.	German
chew the cud	I've been chewing my cud for days, but I still haven't decided whether I'm taking the job or not.	contemplate something. "Cud" is partially digested food that is regurgitated to be chewed again, a common behavior of cows.  	contemplar algo. "Rumia" es un alimento parcialmente digerido que se regurgita para ser masticado nuevamente, un comportamiento común de las vacas.	Spanish
chew the cud	I've been chewing my cud for days, but I still haven't decided whether I'm taking the job or not.	contemplate something. "Cud" is partially digested food that is regurgitated to be chewed again, a common behavior of cows.  	über etwas nachdenken. „Cud“ ist teilweise verdautes Futter, das zum erneuten Kauen wieder ausgespuckt wird, ein häufiges Verhalten von Kühen.	German
feel one's age	My joints are so sore—I'm really feeling my age these days.	realize or be reminded that one is aging, usually because one is experiencing the negative effects of the aging process. 	darse cuenta o recordar que uno está envejeciendo, generalmente porque está experimentando los efectos negativos del proceso de envejecimiento.	Spanish
feel one's age	My joints are so sore—I'm really feeling my age these days.	realize or be reminded that one is aging, usually because one is experiencing the negative effects of the aging process. 	erkennen oder daran erinnert werden, dass man altert, normalerweise weil man die negativen Auswirkungen des Alterungsprozesses erlebt.	German
cut one's throat	That discount supermarket is cutting our throats, there's no way we can compete with their prices!	bring about or be the cause of someone's ruin, downfall, or failure.  	provocar o ser la causa de la ruina, caída o fracaso de alguien.	Spanish
cut one's throat	That discount supermarket is cutting our throats, there's no way we can compete with their prices!	bring about or be the cause of someone's ruin, downfall, or failure.  	den Ruin, den Untergang oder das Scheitern einer Person herbeiführen oder verursachen.	German
good samaritan	Brad was hailed by the newspaper as a good Samaritan after he stepped in and helped a woman who was being robbed.	A person who selflessly helps others, especially those in distress. Taken from a parable in the Bible in which a Samaritan man was the only person who stopped to help a man who was robbed and beaten. 	Persona que ayuda desinteresadamente a los demás, especialmente a los que están en apuros. Tomado de una parábola de la Biblia en la que un hombre samaritano fue la única persona que se detuvo para ayudar a un hombre que estaba siendo asaltado y golpeado.	Spanish
good samaritan	Brad was hailed by the newspaper as a good Samaritan after he stepped in and helped a woman who was being robbed.	A person who selflessly helps others, especially those in distress. Taken from a parable in the Bible in which a Samaritan man was the only person who stopped to help a man who was robbed and beaten. 	Eine Person, die selbstlos anderen hilft, insbesondere denen in Not. Entnommen aus einem Gleichnis in der Bibel, in dem ein Samariter der einzige Mensch war, der anhielt, um einem ausgeraubten und geschlagenen Mann zu helfen.	German
testing the waters	I want to test the water before I make the proposal at the general meeting. Do you think you can float the idea to the boss and gauge his reaction?	informally or casually attempt to gauge the reaction of a potential audience or recipient of something, or to try to get an idea of what something will be like before actually doing it. Likened to feeling the temperature of water before getting in. ? 	Intentar de manera informal o casual medir la reacción de una audiencia o destinatario potencial de algo, o tratar de tener una idea de cómo será algo antes de hacerlo. Comparado con sentir la temperatura del agua antes de entrar.	Spanish
testing the waters	I want to test the water before I make the proposal at the general meeting. Do you think you can float the idea to the boss and gauge his reaction?	informally or casually attempt to gauge the reaction of a potential audience or recipient of something, or to try to get an idea of what something will be like before actually doing it. Likened to feeling the temperature of water before getting in. ? 	Versuchen Sie informell oder beiläufig, die Reaktion eines potenziellen Publikums oder Empfängers auf etwas einzuschätzen, oder versuchen Sie, eine Vorstellung davon zu bekommen, wie etwas sein wird, bevor Sie es tatsächlich tun. Vergleichbar damit, die Wassertemperatur zu spüren, bevor man einsteigt. ?	German
chew the fat	My sister and I haven't seen each other in nearly five years, so we stayed up half the night chewing the fat.	discuss, chat, converse, etc., especially at length and in a leisurely, friendly manner.  	discutir, charlar, conversar, etc., especialmente de forma extensa y de manera pausada y amigable.	Spanish
chew the fat	My sister and I haven't seen each other in nearly five years, so we stayed up half the night chewing the fat.	discuss, chat, converse, etc., especially at length and in a leisurely, friendly manner.  	diskutieren, plaudern, sich unterhalten usw., besonders ausführlich und in einer entspannten, freundlichen Art und Weise.	German
hit the ceiling	Mom will hit the ceiling when she finds out we broke the vase by playing ball in the house again.	react with extreme anger. 	reaccionar con extrema ira.	Spanish
hit the ceiling	Mom will hit the ceiling when she finds out we broke the vase by playing ball in the house again.	react with extreme anger. 	reagieren mit extremer Wut.	German
sacred cow	Unfortunately, that particular program is a sacred cow, and everyone loses their minds if you try to cut its funding.	Someone or something that is considered to have a status that allows it avoid any criticism or questioning. The phrase refers to the veneration of the cow in Hinduism.  	Alguien o algo que se considera que tiene un estatus que le permite evitar cualquier crítica o cuestionamiento. La frase hace referencia a la veneración de la vaca en el hinduismo.	Spanish
sacred cow	Unfortunately, that particular program is a sacred cow, and everyone loses their minds if you try to cut its funding.	Someone or something that is considered to have a status that allows it avoid any criticism or questioning. The phrase refers to the veneration of the cow in Hinduism.  	Jemand oder etwas, von dem man annimmt, dass es einen Status hat, der es erlaubt, Kritik oder Fragen zu vermeiden. Der Ausdruck bezieht sich auf die Verehrung der Kuh im Hinduismus.	German
clock out	I really need to clock out now because my shift was over an hour ago.	mark one's departure from work, as on a time clock a device that stamps the arrival and departure time onto each employee's timecard, or records the times digitally. A noun or pronoun can be used between "clock" and "out."  	marcar la salida del trabajo, como en un reloj de control, un dispositivo que estampa la hora de llegada y salida en la tarjeta de control de cada empleado, o registra las horas digitalmente. Se puede utilizar un sustantivo o pronombre entre "reloj" y "fuera".	Spanish
clock out	I really need to clock out now because my shift was over an hour ago.	mark one's departure from work, as on a time clock a device that stamps the arrival and departure time onto each employee's timecard, or records the times digitally. A noun or pronoun can be used between "clock" and "out."  	Markieren Sie den Abschied von der Arbeit, wie bei einer Stechuhr, einem Gerät, das die Ankunfts- und Abreisezeit auf die Stempelkarte jedes Mitarbeiters stempelt oder die Zeiten digital aufzeichnet. Zwischen „clock“ und „out“ kann ein Substantiv oder Pronomen verwendet werden.	German
wine and dine	This guy is our ideal candidate for the job, so be sure to wine and dine him tonight.	entertain someone with lavish meals, typically in order to gain their favor in some way, either personally or professionally.  	entretener a alguien con comidas suntuosas, generalmente para ganarse su favor de alguna manera, ya sea personal o profesionalmente.	Spanish
wine and dine	This guy is our ideal candidate for the job, so be sure to wine and dine him tonight.	entertain someone with lavish meals, typically in order to gain their favor in some way, either personally or professionally.  	jemanden mit üppigen Mahlzeiten bewirten, typischerweise um auf irgendeine Weise seine Gunst zu gewinnen, sei es privat oder beruflich.	German
spill the beans	We had everything organized for Bruce's surprise party, but Kate accidentally spilled the beans to him at work.	reveal something that was meant to be a secret.  ?	revelar algo que debía ser un secreto. ?	Spanish
spill the beans	We had everything organized for Bruce's surprise party, but Kate accidentally spilled the beans to him at work.	reveal something that was meant to be a secret.  ?	etwas enthüllen, das eigentlich ein Geheimnis sein sollte. ?	German
cash cow	When Bob purchased stock in that software company 10 years ago, he never expected it to become such a cash cow. Now that it has quadrupled in value, he'll be able to retire early.	A business or investment that generates a large or consistent profit. 	Un negocio o inversión que genera una ganancia grande o constante.	Spanish
cash cow	When Bob purchased stock in that software company 10 years ago, he never expected it to become such a cash cow. Now that it has quadrupled in value, he'll be able to retire early.	A business or investment that generates a large or consistent profit. 	Ein Unternehmen oder eine Investition, die einen großen oder konstanten Gewinn erwirtschaftet.	German
leave no stone unturned	Don't worry. We'll find your stolen car. We'll leave no stone unturned.	to search in all possible places. As if one might search under every rock.  	para buscar en todos los lugares posibles. Como si se pudiera buscar debajo de cada piedra.	Spanish
leave no stone unturned	Don't worry. We'll find your stolen car. We'll leave no stone unturned.	to search in all possible places. As if one might search under every rock.  	an allen möglichen Orten suchen. Als ob man unter jedem Stein suchen könnte.	German
stop by	You should stop by for one of our poker games, they're a lot of fun!	stop and spend time at some place or with someone for a brief period of time.  	detenerse y pasar tiempo en algún lugar o con alguien por un breve período de tiempo.	Spanish
stop by	You should stop by for one of our poker games, they're a lot of fun!	stop and spend time at some place or with someone for a brief period of time.  	Halten Sie an und verbringen Sie für kurze Zeit Zeit an einem Ort oder mit jemandem.	German
let one's heart rule their head	I couldn't believe it when I heard he'd bought a sports car, but then he has always been one to let his heart rule his head.	do something based on one's own personal desires rather than for pragmatic or practical reasons.  	hacer algo basándose en los propios deseos personales y no por razones pragmáticas o prácticas.	Spanish
let one's heart rule their head	I couldn't believe it when I heard he'd bought a sports car, but then he has always been one to let his heart rule his head.	do something based on one's own personal desires rather than for pragmatic or practical reasons.  	etwas aus persönlichen Wünschen heraus tun und nicht aus pragmatischen oder praktischen Gründen.	German
start from scratch	The folder with my outline and notes got deleted, so now I have to start the whole project again from scratch.	begin from the very beginning without the aid or advantage of something that is already prepared or completed. A noun or pronoun can be used between "start" and "from."  	Comenzar desde el principio sin la ayuda o ventaja de algo que ya está preparado o completado. Se puede utilizar un sustantivo o pronombre entre "inicio" y "desde".	Spanish
start from scratch	The folder with my outline and notes got deleted, so now I have to start the whole project again from scratch.	begin from the very beginning without the aid or advantage of something that is already prepared or completed. A noun or pronoun can be used between "start" and "from."  	von Anfang an beginnen, ohne die Hilfe oder den Vorteil von etwas, das bereits vorbereitet oder abgeschlossen ist. Zwischen „start“ und „from“ kann ein Substantiv oder Pronomen verwendet werden.	German
bite the dust	We were so lucky to avoid that massive accident—we might have bitten the dust!	Suffer defeat or death, as in The 1990 election saw both of our senators bite the dust. Although this expression was popularized by American Western films of the 1930s, in which either cowboys or Indians were thrown from their horses to the dusty ground, it originated much earlier. Tobias Smollett had it in Gil Blas (1750): "We made two of them bite the dust." 	Sufrir la derrota o la muerte, como en Las elecciones de 1990, nuestros dos senadores mordieron el polvo. Aunque esta expresión fue popularizada por las películas occidentales estadounidenses de la década de 1930, en las que vaqueros o indios eran arrojados de sus caballos al suelo polvoriento, se originó mucho antes. Lo tenía Tobias Smollett en Gil Blas (1750): “Hicimos que dos de ellos mordieran el polvo”.	Spanish
bite the dust	We were so lucky to avoid that massive accident—we might have bitten the dust!	Suffer defeat or death, as in The 1990 election saw both of our senators bite the dust. Although this expression was popularized by American Western films of the 1930s, in which either cowboys or Indians were thrown from their horses to the dusty ground, it originated much earlier. Tobias Smollett had it in Gil Blas (1750): "We made two of them bite the dust." 	Erleiden Sie eine Niederlage oder den Tod, wie bei den Wahlen von 1990, als unsere beiden Senatoren ins Gras beißen. Obwohl dieser Ausdruck durch amerikanische Westernfilme der 1930er Jahre populär wurde, in denen entweder Cowboys oder Indianer von ihren Pferden auf den staubigen Boden geworfen wurden, entstand er viel früher. Tobias Smollett hatte es in Gil Blas (1750) so ausgedrückt: „Wir ließen zwei von ihnen ins Gras beißen.“	German
kill time	I'm going to walk down to the bookstore to kill time before my flight. Do you want anything?	engage in an activity, usually a rather aimless or idle one, with the goal of making time seem to pass more quickly or less slowly. ? 	Realizar una actividad, generalmente sin objetivo o ociosa, con el objetivo de hacer que el tiempo parezca pasar más rápido o menos lento. ?	Spanish
kill time	I'm going to walk down to the bookstore to kill time before my flight. Do you want anything?	engage in an activity, usually a rather aimless or idle one, with the goal of making time seem to pass more quickly or less slowly. ? 	Sich einer Aktivität widmen, die meist eher ziellos oder müßig ist, mit dem Ziel, den Eindruck zu erwecken, dass die Zeit schneller oder weniger langsam vergeht. ?	German
scratch one's head	His decision to pull the plug on the lucrative program has everyone scratching their heads.	show that one is puzzled, doubtful, or uncertain; to show that one has trouble understanding something. Literally scratching one's head can indicate the same thing. 	mostrar que uno está desconcertado, dudoso o inseguro; para mostrar que uno tiene problemas para entender algo. Literalmente, rascarse la cabeza puede indicar lo mismo.	Spanish
scratch one's head	His decision to pull the plug on the lucrative program has everyone scratching their heads.	show that one is puzzled, doubtful, or uncertain; to show that one has trouble understanding something. Literally scratching one's head can indicate the same thing. 	zeigen, dass man verwirrt, zweifelnd oder unsicher ist; zeigen, dass man Schwierigkeiten hat, etwas zu verstehen. Sich buchstäblich am Kopf zu kratzen kann auf dasselbe hinweisen.	German
jump to conclusions	I know you found some suspicious things in her office, but don't jump to conclusions—talk to her first.	make decisions or form opinions before one has all the pertinent facts. 	tomar decisiones o formarse opiniones antes de tener todos los hechos pertinentes.	Spanish
jump to conclusions	I know you found some suspicious things in her office, but don't jump to conclusions—talk to her first.	make decisions or form opinions before one has all the pertinent facts. 	Entscheidungen treffen oder sich eine Meinung bilden, bevor man alle relevanten Fakten hat.	German
jump the gun	Henry jumped the gun and sent the proofs to the printer before the boss approved them, and she was not happy.	start something before it is permissible, appropriate, or advisable. The phrase alludes to starting to run in a foot race before the starting gun goes off.  	comenzar algo antes de que sea permisible, apropiado o aconsejable. La frase alude a empezar a correr en una carrera a pie antes de que suene el pistoletazo de salida.	Spanish
jump the gun	Henry jumped the gun and sent the proofs to the printer before the boss approved them, and she was not happy.	start something before it is permissible, appropriate, or advisable. The phrase alludes to starting to run in a foot race before the starting gun goes off.  	etwas beginnen, bevor es zulässig, angemessen oder ratsam ist. Der Satz bezieht sich auf den Beginn eines Wettlaufs, bevor der Startschuss fällt.	German
set the ball rolling	I think it will be easier to become comfortable driving now that I've set the ball rolling with driving lessons.	set something, often a process, in motion; to act to cause something to begin.  	poner algo, a menudo un proceso, en movimiento; actuar para provocar que algo comience.	Spanish
set the ball rolling	I think it will be easier to become comfortable driving now that I've set the ball rolling with driving lessons.	set something, often a process, in motion; to act to cause something to begin.  	etwas, oft einen Prozess, in Gang setzen; handeln, um etwas in Gang zu bringen.	German
stick to one's guns	The prosecution is going to try to trip you up with your statement and your alibi, but so long as you stick to your guns, there's nothing to worry about.	remain determined, resolute, or steadfast in one's opinion, belief, or perspective; to refuse to be persuaded by someone else into believing or doing something one does not agree with. Alludes to a soldier remaining and firing their guns at an enemy, even when the situation might be dangerous or hopeless.  	permanecer determinado, resuelto o firme en su opinión, creencia o perspectiva; Negarse a ser persuadido por otra persona para creer o hacer algo con lo que uno no está de acuerdo. Alude a un soldado que permanece y dispara sus armas contra un enemigo, incluso cuando la situación puede ser peligrosa o desesperada.	Spanish
stick to one's guns	The prosecution is going to try to trip you up with your statement and your alibi, but so long as you stick to your guns, there's nothing to worry about.	remain determined, resolute, or steadfast in one's opinion, belief, or perspective; to refuse to be persuaded by someone else into believing or doing something one does not agree with. Alludes to a soldier remaining and firing their guns at an enemy, even when the situation might be dangerous or hopeless.  	in seiner Meinung, seinem Glauben oder seiner Perspektive entschlossen, entschlossen oder standhaft bleiben; sich weigern, sich von jemand anderem dazu überreden zu lassen, etwas zu glauben oder zu tun, mit dem man nicht einverstanden ist. Spielt darauf an, dass ein Soldat zurückbleibt und seine Waffen auf einen Feind abfeuert, selbst wenn die Situation gefährlich oder hoffnungslos sein könnte.	German
ahead of one's time	That 19th-century scientist was definitely ahead of his time with his detailed plan of space travel.	More advanced or innovative than is or was typical in a particular era.  	Más avanzado o innovador de lo que es o era típico en una época particular.	Spanish
ahead of one's time	That 19th-century scientist was definitely ahead of his time with his detailed plan of space travel.	More advanced or innovative than is or was typical in a particular era.  	Fortschrittlicher oder innovativer als es in einer bestimmten Zeit üblich ist oder war.	German
shoot straight	Joe always shoots straight, so if he says this is the best deal we can get, then I believe him.	be honest, straightforward, and fair in one's dealings.  	ser honesto, directo y justo en sus tratos.	Spanish
shoot straight	Joe always shoots straight, so if he says this is the best deal we can get, then I believe him.	be honest, straightforward, and fair in one's dealings.  	Seien Sie ehrlich, unkompliziert und fair im Umgang.	German
join the club	Yeah, join the club—I hardly got any sleep night either.	An expression used when two people have something unpleasant in common. 	Expresión que se utiliza cuando dos personas tienen algo desagradable en común.	Spanish
join the club	Yeah, join the club—I hardly got any sleep night either.	An expression used when two people have something unpleasant in common. 	Ein Ausdruck, der verwendet wird, wenn zwei Menschen etwas Unangenehmes gemeinsam haben.	German
